Lat,Lon,cluster
40.7585,-73.9694,3
40.7667,-73.9787,3
40.7554,-73.9714,3
40.7423,-73.9871,3
40.645,-73.7819,4
40.752,-73.9773,3
40.725,-73.9944,0
40.7331,-73.9935,0
40.726,-74.0007,0
40.7067,-74.0145,0
40.7374,-73.9801,0
40.7637,-73.9619,3
40.7679,-73.9915,3
40.7478,-73.9908,3
40.774,-73.8719,1
40.7554,-73.9208,3
40.7293,-73.9961,0
40.7256,-73.992,0
40.7518,-73.9796,3
40.7406,-74.0056,0
40.7642,-73.9709,3
40.7166,-73.9456,0
40.7097,-74.0087,0
40.763,-73.9781,3
40.7517,-73.9936,3
40.7771,-73.9594,3
40.7218,-74.0036,0
40.7417,-74.0038,0
40.7174,-73.9998,0
40.7753,-73.9904,3
40.7868,-73.9776,3
40.724,-74.0007,0
40.7327,-73.9973,0
40.7236,-74.0108,0
40.7742,-73.9887,3
40.8215,-73.9503,3
40.7328,-74.0044,0
40.7483,-73.9958,3
40.7251,-73.9923,0
40.7555,-73.9661,3
40.8008,-73.9426,3
40.7836,-73.9503,3
40.7103,-74.0095,0
40.7721,-73.9622,3
40.7266,-74.0025,0
40.7212,-74.0013,0
40.7572,-73.9747,3
40.7219,-73.9976,0
40.7732,-73.8855,1
40.6955,-73.8579,4
40.7751,-73.9093,1
40.7316,-74.0017,0
40.7577,-73.9737,3
40.7262,-73.984,0
40.6947,-73.9965,0
40.7067,-73.9088,0
40.7681,-73.862,1
40.7711,-73.9814,3
40.7324,-73.9891,0
40.72,-73.9988,0
40.756,-73.9741,3
